ID,Language,Text,Category,Duration_Estimate,Audio_Filename
31,Hindi,मुझे चाय पसंद है,Preferences,4,hindi_031.mp3
66,Hindi,मेरे बच्चे स्कूल जाते हैं,Family,5,hindi_066.mp3
65,Hindi,मेरे दादा-दादी गाँव में रहते हैं,Family,7,hindi_065.mp3
54,Hindi,मुझे बैठक में जाना है,Professional,5,hindi_054.mp3
46,Hindi,बादल छाए हुए हैं,Weather,4,hindi_046.mp3
95,Hindi,राजा ने उसका स्वागत किया,Stories,6,hindi_095.mp3
105,Hindi,मैं बहुत उत्साहित हूँ,Emotions,5,hindi_105.mp3
48,Hindi,मौसम सुहावना है,Weather,4,hindi_048.mp3
11,Hindi,मैं स्कूल जा रहा हूँ,Daily Activities,4,hindi_011.mp3
1,Hindi,नमस्ते,Greetings,2,hindi_001.mp3
19,Hindi,मैं खेल रहा हूँ,Daily Activities,3,hindi_019.mp3
32,Hindi,मुझे फिल्में देखना अच्छा लगता है,Preferences,6,hindi_032.mp3
90,Hindi,मध्यरात्रि में,Time,3,hindi_090.mp3
97,Hindi,दिल्ली भारत की राजधानी है,General Knowledge,6,hindi_097.mp3
78,Hindi,धीरे चलिए,Instructions,3,hindi_078.mp3
5,Hindi,शुभ रात्रि,Greetings,3,hindi_005.mp3
81,Hindi,एक,Numbers,2,hindi_081.mp3
34,Hindi,मुझे किताबें पढ़ना अच्छा लगता है,Preferences,6,hindi_034.mp3
13,Hindi,मैं पानी पी रहा हूँ,Daily Activities,4,hindi_013.mp3
27,Hindi,कहाँ जा रहे हैं?,Questions,3,hindi_027.mp3
100,Hindi,गंगा भारत की पवित्र नदी है,General Knowledge,6,hindi_100.mp3
56,Hindi,मैं रिपोर्ट तैयार कर रहा हूँ,Professional,6,hindi_056.mp3
23,Hindi,यह क्या है?,Questions,3,hindi_023.mp3
77,Hindi,बाएँ मुड़िए,Instructions,3,hindi_077.mp3
45,Hindi,धूप खिली है,Weather,3,hindi_045.mp3
73,Hindi,पानी पी लीजिए,Instructions,4,hindi_073.mp3
16,Hindi,मैं टीवी देख रहा हूँ,Daily Activities,4,hindi_016.mp3
43,Hindi,आज बहुत गर्मी है,Weather,4,hindi_043.mp3
41,Hindi,आज मौसम बहुत अच्छा है,Weather,5,hindi_041.mp3
10,Hindi,अलविदा,Greetings,2,hindi_010.mp3
86,Hindi,कल मंगलवार होगा,Time,5,hindi_086.mp3
12,Hindi,मुझे खाना खाना है,Daily Activities,4,hindi_012.mp3
104,Hindi,मुझे डर लग रहा है,Emotions,4,hindi_104.mp3
79,Hindi,कृपया यहाँ हस्ताक्षर करें,Instructions,5,hindi_079.mp3
29,Hindi,कितने बजे हैं?,Questions,3,hindi_029.mp3
80,Hindi,यह फॉर्म भर दीजिए,Instructions,5,hindi_080.mp3
6,Hindi,आपका स्वागत है,Greetings,4,hindi_006.mp3
63,Hindi,मेरी एक बहन है,Family,4,hindi_063.mp3
57,Hindi,मुझे ईमेल भेजनी है,Professional,5,hindi_057.mp3
40,Hindi,मुझे प्रकृति पसंद है,Preferences,4,hindi_040.mp3
36,Hindi,मुझे संगीत सुनना अच्छा लगता है,Preferences,6,hindi_036.mp3
17,Hindi,मैं सो रहा हूँ,Daily Activities,3,hindi_017.mp3
67,Hindi,मेरी पत्नी डॉक्टर है,Family,4,hindi_067.mp3
35,Hindi,मुझे खाना बनाना पसंद है,Preferences,5,hindi_035.mp3
8,Hindi,कृपया,Greetings,2,hindi_008.mp3
44,Hindi,आज ठंड है,Weather,3,hindi_044.mp3
69,Hindi,हम सभी साथ रहते हैं,Family,5,hindi_069.mp3
70,Hindi,मेरा परिवार मुझे बहुत प्यार करता है,Family,7,hindi_070.mp3
28,Hindi,क्या आप मेरी मदद कर सकते हैं?,Questions,6,hindi_028.mp3
20,Hindi,मैं नहा रहा हूँ,Daily Activities,3,hindi_020.mp3
85,Hindi,आज सोमवार है,Time,4,hindi_085.mp3
26,Hindi,आप क्या कर रहे हैं?,Questions,5,hindi_026.mp3
74,Hindi,कृपया प्रतीक्षा करें,Instructions,4,hindi_074.mp3
50,Hindi,ओले पड़ रहे हैं,Weather,4,hindi_050.mp3
14,Hindi,मैं किताब पढ़ रहा हूँ,Daily Activities,5,hindi_014.mp3
25,Hindi,समय क्या हुआ है?,Questions,4,hindi_025.mp3
4,Hindi,शुभ प्रभात,Greetings,3,hindi_004.mp3
18,Hindi,मैं काम कर रहा हूँ,Daily Activities,4,hindi_018.mp3
39,Hindi,मुझे दोस्तों से मिलना पसंद है,Preferences,6,hindi_039.mp3
9,Hindi,माफ कीजिये,Greetings,3,hindi_009.mp3
82,Hindi,दस,Numbers,2,hindi_082.mp3
7,Hindi,फिर मिलेंगे,Greetings,3,hindi_007.mp3
68,Hindi,मेरा बेटा बहुत होशियार है,Family,5,hindi_068.mp3
37,Hindi,मुझे तैरना पसंद है,Preferences,4,hindi_037.mp3
92,Hindi,वह बहुत दयालु था,Stories,4,hindi_092.mp3
