ID,Language,Text,Category,Duration_Estimate,Audio_Filename
31,English,I like tea,Preferences,2,english_031.mp3
66,English,My children go to school,Family,4,english_066.mp3
65,English,My grandparents live in the village,Family,5,english_065.mp3
54,English,I need to go to a meeting,Professional,4,english_054.mp3
46,English,It is cloudy,Weather,2,english_046.mp3
95,English,The king welcomed him,Stories,3,english_095.mp3
105,English,I am very excited,Emotions,3,english_105.mp3
48,English,The weather is pleasant,Weather,3,english_048.mp3
11,English,I am going to school,Daily Activities,3,english_011.mp3
1,English,Hello,Greetings,1,english_001.mp3
19,English,I am playing,Daily Activities,2,english_019.mp3
32,English,I enjoy watching movies,Preferences,4,english_032.mp3
90,English,Midnight,Time,2,english_090.mp3
97,English,Delhi is the capital of India,General Knowledge,4,english_097.mp3
78,English,Walk slowly,Instructions,2,english_078.mp3
5,English,Good night,Greetings,2,english_005.mp3
81,English,One,Numbers,1,english_081.mp3
34,English,I like reading books,Preferences,3,english_034.mp3
13,English,I am drinking water,Daily Activities,3,english_013.mp3
27,English,Where are you going?,Questions,3,english_027.mp3
100,English,The Ganges is a sacred river in India,General Knowledge,5,english_100.mp3
56,English,I am preparing a report,Professional,4,english_056.mp3
23,English,What is this?,Questions,2,english_023.mp3
77,English,Turn left,Instructions,2,english_077.mp3
45,English,The sun is shining,Weather,3,english_045.mp3
73,English,Please drink water,Instructions,3,english_073.mp3
16,English,I am watching TV,Daily Activities,3,english_016.mp3
43,English,It is very hot today,Weather,3,english_043.mp3
41,English,The weather is very nice today,Weather,4,english_041.mp3
10,English,Goodbye,Greetings,2,english_010.mp3
86,English,Tomorrow is Tuesday,Time,3,english_086.mp3
12,English,I need to eat food,Daily Activities,3,english_012.mp3
104,English,I am scared,Emotions,2,english_104.mp3
79,English,Please sign here,Instructions,3,english_079.mp3
29,English,What is the time?,Questions,3,english_029.mp3
80,English,Fill this form,Instructions,3,english_080.mp3
6,English,Welcome,Greetings,2,english_006.mp3
63,English,I have one sister,Family,3,english_063.mp3
57,English,I need to send an email,Professional,4,english_057.mp3
40,English,I love nature,Preferences,2,english_040.mp3
36,English,I love listening to music,Preferences,4,english_036.mp3
17,English,I am sleeping,Daily Activities,2,english_017.mp3
67,English,My wife is a doctor,Family,3,english_067.mp3
35,English,I enjoy cooking,Preferences,3,english_035.mp3
8,English,Please,Greetings,1,english_008.mp3
44,English,It is cold today,Weather,3,english_044.mp3
69,English,We all live together,Family,3,english_069.mp3
70,English,My family loves me very much,Family,4,english_070.mp3
28,English,Can you help me?,Questions,3,english_028.mp3
20,English,I am taking a bath,Daily Activities,3,english_020.mp3
85,English,Today is Monday,Time,3,english_085.mp3
26,English,What are you doing?,Questions,3,english_026.mp3
74,English,Please wait,Instructions,2,english_074.mp3
50,English,It is hailing,Weather,2,english_050.mp3
14,English,I am reading a book,Daily Activities,3,english_014.mp3
25,English,What time is it?,Questions,3,english_025.mp3
4,English,Good morning,Greetings,2,english_004.mp3
18,English,I am working,Daily Activities,2,english_018.mp3
39,English,I like meeting friends,Preferences,4,english_039.mp3
9,English,Sorry,Greetings,1,english_009.mp3
82,English,Ten,Numbers,1,english_082.mp3
7,English,See you again,Greetings,2,english_007.mp3
68,English,My son is very smart,Family,3,english_068.mp3
37,English,I like swimming,Preferences,3,english_037.mp3
92,English,He was very kind,Stories,3,english_092.mp3
84,English,Thousand,Numbers,2,english_084.mp3
55,English,I have a presentation tomorrow,Professional,4,english_055.mp3
51,English,I am an engineer,Professional,3,english_051.mp3
71,English,Please close the door,Instructions,3,english_071.mp3
47,English,A storm is coming,Weather,3,english_047.mp3
101,English,I miss you very much,Emotions,3,english_101.mp3
62,English,I have two brothers,Family,3,english_062.mp3
102,English,I am very happy,Emotions,3,english_102.mp3
