ID,Language,Text,Category,Duration_Estimate,Audio_Filename
31,Tamil,எனக்கு காபி பிடிக்கும்,Preferences,5,tamil_031.mp3
66,Tamil,என் குழந்தைகள் பள்ளிக்கு செல்கிறார்கள்,Family,7,tamil_066.mp3
65,Tamil,என் தாத்தா பாட்டி கிராமத்தில் வாழ்கிறார்கள்,Family,8,tamil_065.mp3
54,Tamil,எனக்கு கூட்டத்திற்கு செல்ல வேண்டும்,Professional,7,tamil_054.mp3
46,Tamil,மேகம் மூடியிருக்கிறது,Weather,5,tamil_046.mp3
95,Tamil,அரசன் அவனை வரவேற்றான்,Stories,6,tamil_095.mp3
105,Tamil,நான் மிகவும் உற்சாகமாக இருக்கிறேன்,Emotions,7,tamil_105.mp3
48,Tamil,காலநிலை இனிமையாக இருக்கிறது,Weather,6,tamil_048.mp3
11,Tamil,நான் பள்ளிக்கு போகிறேன்,Daily Activities,5,tamil_011.mp3
1,Tamil,வணக்கம்,Greetings,2,tamil_001.mp3
19,Tamil,நான் விளையாடுகிறேன்,Daily Activities,4,tamil_019.mp3
32,Tamil,எனக்கு படம் பார்க்க பிடிக்கும்,Preferences,6,tamil_032.mp3
90,Tamil,நள்ளிரவில்,Time,3,tamil_090.mp3
97,Tamil,டெல்லி இந்தியாவின் தலைநகரம்,General Knowledge,6,tamil_097.mp3
78,Tamil,மெதுவாக நடங்கள்,Instructions,4,tamil_078.mp3
5,Tamil,இனிய இரவு,Greetings,3,tamil_005.mp3
81,Tamil,ஒன்று,Numbers,2,tamil_081.mp3
34,Tamil,எனக்கு புத்தகம் படிக்க பிடிக்கும்,Preferences,6,tamil_034.mp3
13,Tamil,நான் தண்ணீர் குடிக்கிறேன்,Daily Activities,5,tamil_013.mp3
27,Tamil,எங்கே போகிறீர்கள்?,Questions,4,tamil_027.mp3
100,Tamil,கங்கை இந்தியாவின் புனித நதி,General Knowledge,7,tamil_100.mp3
56,Tamil,நான் அறிக்கை தயாரிக்கிறேன்,Professional,6,tamil_056.mp3
23,Tamil,இது என்ன?,Questions,3,tamil_023.mp3
77,Tamil,இடதுபுறம் திரும்புங்கள்,Instructions,5,tamil_077.mp3
45,Tamil,வெயில் அடிக்கிறது,Weather,4,tamil_045.mp3
73,Tamil,தண்ணீர் குடியுங்கள்,Instructions,5,tamil_073.mp3
16,Tamil,நான் டிவி பார்க்கிறேன்,Daily Activities,5,tamil_016.mp3
43,Tamil,இன்று மிகவும் வெப்பமாக இருக்கிறது,Weather,6,tamil_043.mp3
41,Tamil,இன்று வானிலை மிகவும் நன்றாக இருக்கிறது,Weather,7,tamil_041.mp3
10,Tamil,விடைபெறுகிறேன்,Greetings,3,tamil_010.mp3
86,Tamil,நாளை செவ்வாய்கிழமை,Time,5,tamil_086.mp3
12,Tamil,எனக்கு சாப்பிட வேண்டும்,Daily Activities,5,tamil_012.mp3
104,Tamil,எனக்கு பயமாக இருக்கிறது,Emotions,5,tamil_104.mp3
79,Tamil,தயவுசெய்து இங்கே கையெழுத்திடுங்கள்,Instructions,7,tamil_079.mp3
29,Tamil,மணி எத்தனை?,Questions,3,tamil_029.mp3
80,Tamil,இந்த படிவத்தை நிரப்புங்கள்,Instructions,6,tamil_080.mp3
6,Tamil,வரவேற்கிறோம்,Greetings,3,tamil_006.mp3
63,Tamil,எனக்கு ஒரு சகோதரி உள்ளாள்,Family,6,tamil_063.mp3
57,Tamil,எனக்கு மின்னஞ்சல் அனுப்ப வேண்டும்,Professional,7,tamil_057.mp3
40,Tamil,எனக்கு இயற்கை பிடிக்கும்,Preferences,5,tamil_040.mp3
36,Tamil,எனக்கு இசை கேட்க பிடிக்கும்,Preferences,6,tamil_036.mp3
17,Tamil,நான் தூங்குகிறேன்,Daily Activities,4,tamil_017.mp3
67,Tamil,என் மனைவி மருத்துவர்,Family,5,tamil_067.mp3
35,Tamil,எனக்கு சமையல் செய்ய பிடிக்கும்,Preferences,6,tamil_035.mp3
8,Tamil,தயவுசெய்து,Greetings,3,tamil_008.mp3
44,Tamil,இன்று குளிர்ச்சியாக இருக்கிறது,Weather,5,tamil_044.mp3
69,Tamil,நாங்கள் அனைவரும் ஒன்றாக வாழ்கிறோம்,Family,7,tamil_069.mp3
70,Tamil,என் குடும்பம் என்னை மிகவும் நேசிக்கிறது,Family,7,tamil_070.mp3
28,Tamil,எனக்கு உதவ முடியுமா?,Questions,5,tamil_028.mp3
20,Tamil,நான் குளிக்கிறேன்,Daily Activities,4,tamil_020.mp3
85,Tamil,இன்று திங்கள்கிழமை,Time,5,tamil_085.mp3
26,Tamil,நீங்கள் என்ன செய்கிறீர்கள்?,Questions,5,tamil_026.mp3
74,Tamil,தயவுசெய்து காத்திருங்கள்,Instructions,5,tamil_074.mp3
50,Tamil,ஆலங்கட்டி மழை பெய்கிறது,Weather,5,tamil_050.mp3
14,Tamil,நான் புத்தகம் படிக்கிறேன்,Daily Activities,5,tamil_014.mp3
25,Tamil,நேரம் என்ன?,Questions,3,tamil_025.mp3
4,Tamil,காலை வணக்கம்,Greetings,3,tamil_004.mp3
18,Tamil,நான் வேலை செய்கிறேன்,Daily Activities,5,tamil_018.mp3
39,Tamil,எனக்கு நண்பர்களை சந்திக்க பிடிக்கும்,Preferences,7,tamil_039.mp3
9,Tamil,மன்னிக்கவும்,Greetings,3,tamil_009.mp3
82,Tamil,பத்து,Numbers,2,tamil_082.mp3
7,Tamil,மீண்டும் சந்திப்போம்,Greetings,4,tamil_007.mp3
68,Tamil,என் மகன் மிகவும் புத்திசாலி,Family,6,tamil_068.mp3
37,Tamil,எனக்கு நீந்த பிடிக்கும்,Preferences,5,tamil_037.mp3
92,Tamil,அவன் மிகவும் அன்பானவன்,Stories,6,tamil_092.mp3
84,Tamil,ஆயிரம்,Numbers,3,tamil_084.mp3
55,Tamil,நாளை எனது விளக்கக்காட்சி,Professional,6,tamil_055.mp3
51,Tamil,நான் ஒரு பொறியாளர்,Professional,5,tamil_051.mp3
71,Tamil,தயவுசெய்து கதவை மூடுங்கள்,Instructions,6,tamil_071.mp3
47,Tamil,புயல் வருகிறது,Weather,4,tamil_047.mp3
101,Tamil,நான் உங்களை மிகவும் நினைக்கிறேன்,Emotions,6,tamil_101.mp3
62,Tamil,எனக்கு இரண்டு சகோதரர்கள் உள்ளனர்,Family,6,tamil_062.mp3
