ID,Language,Text,Category,Duration_Estimate,Audio_Filename
31,Malayalam,എനിക്ക് ചായ ഇഷ്ടമാണ്,Preferences,5,malayalam_031.mp3
66,Malayalam,എന്റെ കുട്ടികൾ സ്കൂളിൽ പോകുന്നു,Family,7,malayalam_066.mp3
65,Malayalam,എന്റെ മുത്തശ്ശിമാർ ഗ്രാമത്തിൽ താമസിക്കുന്നു,Family,8,malayalam_065.mp3
54,Malayalam,എനിക്ക് യോഗത്തിന് പോകണം,Professional,6,malayalam_054.mp3
46,Malayalam,മേഘങ്ങൾ മൂടിയിരിക്കുന്നു,Weather,6,malayalam_046.mp3
95,Malayalam,രാജാവ് അദ്ദേഹത്തെ സ്വാഗതം ചെയ്തു,Stories,7,malayalam_095.mp3
105,Malayalam,ഞാൻ വളരെ ഉത്സാഹമുള്ളവനാണ്,Emotions,7,malayalam_105.mp3
48,Malayalam,കാലാവസ്ഥ സുഖകരമാണ്,Weather,6,malayalam_048.mp3
11,Malayalam,ഞാൻ സ്കൂളിലേക്ക് പോകുന്നു,Daily Activities,6,malayalam_011.mp3
1,Malayalam,നമസ്കാരം,Greetings,3,malayalam_001.mp3
19,Malayalam,ഞാൻ കളിക്കുന്നു,Daily Activities,4,malayalam_019.mp3
32,Malayalam,എനിക്ക് സിനിമ കാണാൻ ഇഷ്ടമാണ്,Preferences,7,malayalam_032.mp3
90,Malayalam,അർദ്ധരാത്രി,Time,3,malayalam_090.mp3
97,Malayalam,ഡൽഹി ഇന്ത്യയുടെ തലസ്ഥാനമാണ്,General Knowledge,7,malayalam_097.mp3
78,Malayalam,പതുക്കെ നടക്കുക,Instructions,5,malayalam_078.mp3
5,Malayalam,ശുഭ രാത്രി,Greetings,3,malayalam_005.mp3
81,Malayalam,ഒന്ന്,Numbers,2,malayalam_081.mp3
34,Malayalam,എനിക്ക് പുസ്തകം വായിക്കാൻ ഇഷ്ടമാണ്,Preferences,8,malayalam_034.mp3
13,Malayalam,ഞാൻ വെള്ളം കുടിക്കുന്നു,Daily Activities,5,malayalam_013.mp3
27,Malayalam,എവിടെ പോകുന്നു?,Questions,4,malayalam_027.mp3
100,Malayalam,ഗംഗ ഇന്ത്യയിലെ പുണ്യനദിയാണ്,General Knowledge,7,malayalam_100.mp3
56,Malayalam,ഞാൻ റിപ്പോർട്ട് തയ്യാറാക്കുന്നു,Professional,7,malayalam_056.mp3
23,Malayalam,ഇത് എന്താണ്?,Questions,3,malayalam_023.mp3
77,Malayalam,ഇടത്തോട്ട് തിരിയുക,Instructions,5,malayalam_077.mp3
45,Malayalam,വെയിൽ കൊടുംകൊടുമാണ്,Weather,5,malayalam_045.mp3
73,Malayalam,വെള്ളം കുടിക്കുക,Instructions,4,malayalam_073.mp3
16,Malayalam,ഞാൻ ടിവി കാണുന്നു,Daily Activities,5,malayalam_016.mp3
43,Malayalam,ഇന്ന് വളരെ ചൂടാണ്,Weather,5,malayalam_043.mp3
41,Malayalam,ഇന്നത്തെ കാലാവസ്ഥ വളരെ നല്ലതാണ്,Weather,7,malayalam_041.mp3
10,Malayalam,വിട,Greetings,2,malayalam_010.mp3
86,Malayalam,നാളെ ചൊവ്വാഴ്ചയാണ്,Time,5,malayalam_086.mp3
12,Malayalam,എനിക്ക് ഭക്ഷണം കഴിക്കണം,Daily Activities,6,malayalam_012.mp3
104,Malayalam,എനിക്ക് ഭയമാണ്,Emotions,4,malayalam_104.mp3
79,Malayalam,ദയവായി ഇവിടെ ഒപ്പിടുക,Instructions,6,malayalam_079.mp3
29,Malayalam,എത്ര മണിയായി?,Questions,4,malayalam_029.mp3
80,Malayalam,ഈ ഫോം പൂരിപ്പിക്കുക,Instructions,6,malayalam_080.mp3
6,Malayalam,സ്വാഗതം,Greetings,3,malayalam_006.mp3
63,Malayalam,എനിക്ക് ഒരു സഹോദരിയുണ്ട്,Family,6,malayalam_063.mp3
57,Malayalam,എനിക്ക് ഇമെയിൽ അയയ്ക്കണം,Professional,6,malayalam_057.mp3
40,Malayalam,എനിക്ക് പ്രകൃതി ഇഷ്ടമാണ്,Preferences,5,malayalam_040.mp3
36,Malayalam,എനിക്ക് സംഗീതം കേൾക്കാൻ ഇഷ്ടമാണ്,Preferences,7,malayalam_036.mp3
17,Malayalam,ഞാൻ ഉറങ്ങുന്നു,Daily Activities,4,malayalam_017.mp3
67,Malayalam,എന്റെ ഭാര്യ ഡോക്ടറാണ്,Family,5,malayalam_067.mp3
35,Malayalam,എനിക്ക് പാചകം ചെയ്യാൻ ഇഷ്ടമാണ്,Preferences,7,malayalam_035.mp3
8,Malayalam,ദയവായി,Greetings,3,malayalam_008.mp3
44,Malayalam,ഇന്ന് തണുപ്പാണ്,Weather,4,malayalam_044.mp3
69,Malayalam,ഞങ്ങൾ എല്ലാവരും ഒരുമിച്ച് താമസിക്കുന്നു,Family,8,malayalam_069.mp3
