ID,Language,Text,Category,Duration_Estimate,Audio_Filename
31,Telugu,నాకు టీ ఇష్టం,Preferences,4,telugu_031.mp3
66,Telugu,నా పిల్లలు పాఠశాలకు వెళ్తారు,Family,6,telugu_066.mp3
65,Telugu,నా తాతలు గ్రామంలో నివసిస్తున్నారు,Family,7,telugu_065.mp3
54,Telugu,నేను సమావేశానికి వెళ్ళాలి,Professional,6,telugu_054.mp3
46,Telugu,మేఘాలు కమ్ముకుంటున్నాయి,Weather,6,telugu_046.mp3
95,Telugu,రాజు అతన్ని స్వాగతించాడు,Stories,6,telugu_095.mp3
105,Telugu,నేను చాలా ఉత్సాహంగా ఉన్నాను,Emotions,7,telugu_105.mp3
48,Telugu,వాతావరణం ఆహ్లాదకరంగా ఉంది,Weather,7,telugu_048.mp3
11,Telugu,నేను పాఠశాలకు వెళ్తున్నాను,Daily Activities,6,telugu_011.mp3
1,Telugu,నమస్కారం,Greetings,3,telugu_001.mp3
19,Telugu,నేను ఆడుకుంటున్నాను,Daily Activities,5,telugu_019.mp3
32,Telugu,నాకు సినిమాలు చూడటం ఇష్టం,Preferences,6,telugu_032.mp3
90,Telugu,అర్ధరాత్రి,Time,3,telugu_090.mp3
97,Telugu,ఢిల్లీ భారతదేశ రాజధాని,General Knowledge,6,telugu_097.mp3
78,Telugu,నెమ్మదిగా నడవండి,Instructions,5,telugu_078.mp3
5,Telugu,శుభ రాత్రి,Greetings,3,telugu_005.mp3
81,Telugu,ఒకటి,Numbers,2,telugu_081.mp3
34,Telugu,నాకు పుస్తకాలు చదవడం ఇష్టం,Preferences,7,telugu_034.mp3
13,Telugu,నేను నీళ్ళు తాగుతున్నాను,Daily Activities,5,telugu_013.mp3
27,Telugu,ఎక్కడికి వెళ్తున్నారు?,Questions,5,telugu_027.mp3
100,Telugu,గంగా భారతదేశపు పవిత్ర నది,General Knowledge,7,telugu_100.mp3
56,Telugu,నేను నివేదిక తయారు చేస్తున్నాను,Professional,7,telugu_056.mp3
23,Telugu,ఇది ఏమిటి?,Questions,3,telugu_023.mp3
77,Telugu,ఎడమవైపు తిరగండి,Instructions,5,telugu_077.mp3
45,Telugu,ఎండ కొట్టుకుంటోంది,Weather,5,telugu_045.mp3
73,Telugu,నీళ్ళు త్రాగండి,Instructions,4,telugu_073.mp3
16,Telugu,నేను టీవీ చూస్తున్నాను,Daily Activities,5,telugu_016.mp3
43,Telugu,ఈరోజు చాలా వేడిగా ఉంది,Weather,6,telugu_043.mp3
41,Telugu,ఈరోజు వాతావరణం చాలా బాగుంది,Weather,6,telugu_041.mp3
10,Telugu,వీడ్కోలు,Greetings,3,telugu_010.mp3
86,Telugu,రేపు మంగళవారం,Time,5,telugu_086.mp3
12,Telugu,నేను తినాలి,Daily Activities,4,telugu_012.mp3
104,Telugu,నాకు భయంగా ఉంది,Emotions,4,telugu_104.mp3
79,Telugu,దయచేసి ఇక్కడ సంతకం చేయండి,Instructions,7,telugu_079.mp3
29,Telugu,ఎన్ని గంటలు అయ్యాయి?,Questions,5,telugu_029.mp3
80,Telugu,ఈ ఫారం నింపండి,Instructions,5,telugu_080.mp3
6,Telugu,స్వాగతం,Greetings,3,telugu_006.mp3
63,Telugu,నాకు ఒక సోదరి ఉంది,Family,5,telugu_063.mp3
57,Telugu,నేను ఇమెయిల్ పంపాలి,Professional,5,telugu_057.mp3
40,Telugu,నాకు ప్రకృతి ఇష్టం,Preferences,5,telugu_040.mp3
36,Telugu,నాకు సంగీతం వినడం ఇష్టం,Preferences,6,telugu_036.mp3
17,Telugu,నేను నిద్రపోతున్నాను,Daily Activities,5,telugu_017.mp3
67,Telugu,నా భార్య వైద్యురాలు,Family,5,telugu_067.mp3
35,Telugu,నాకు వంట చేయడం ఇష్టం,Preferences,6,telugu_035.mp3
8,Telugu,దయచేసి,Greetings,3,telugu_008.mp3
44,Telugu,ఈరోజు చల్లగా ఉంది,Weather,5,telugu_044.mp3
69,Telugu,మనమందరం కలిసి నివసిస్తున్నాం,Family,7,telugu_069.mp3
70,Telugu,నా కుటుంబం నన్ను చాలా ప్రేమిస్తుంది,Family,7,telugu_070.mp3
28,Telugu,మీరు నాకు సహాయం చేయగలరా?,Questions,6,telugu_028.mp3
20,Telugu,నేను స్నానం చేస్తున్నాను,Daily Activities,5,telugu_020.mp3
85,Telugu,ఈరోజు సోమవారం,Time,5,telugu_085.mp3
26,Telugu,మీరు ఏం చేస్తున్నారు?,Questions,5,telugu_026.mp3
74,Telugu,దయచేసి వేచి ఉండండి,Instructions,6,telugu_074.mp3
50,Telugu,వడగళ్ళు కురుస్తున్నాయి,Weather,5,telugu_050.mp3
14,Telugu,నేను పుస్తకం చదువుతున్నాను,Daily Activities,6,telugu_014.mp3
25,Telugu,సమయం ఎంత?,Questions,4,telugu_025.mp3
4,Telugu,శుభోదయం,Greetings,3,telugu_004.mp3
18,Telugu,నేను పని చేస్తున్నాను,Daily Activities,5,telugu_018.mp3
39,Telugu,నాకు స్నేహితులను కలవడం ఇష్టం,Preferences,7,telugu_039.mp3
9,Telugu,క్షమించండి,Greetings,3,telugu_009.mp3
82,Telugu,పది,Numbers,2,telugu_082.mp3
7,Telugu,మళ్ళీ కలుద్దాం,Greetings,4,telugu_007.mp3
68,Telugu,నా కొడుకు చాలా తెలివైనవాడు,Family,6,telugu_068.mp3
